id,brand,model,body_type,generation,year_from,year_to,category,part_code,part_name_en,part_name_az,price_min_azn,price_avg_azn,price_max_azn,price_type
1,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Front,front_bumper_cover,Front Bumper Cover,Ön bamper örtüyü,260,470,925,estimate
2,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Front,front_grille,Front Grille,Ön radiator barmaqlığı,110,190,380,estimate
3,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Front,hood,Hood (Bonnet),Kapot,280,500,1025,estimate
4,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Front,left_headlight,Left Headlight,Sol ön fara,370,675,1350,estimate
5,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Front,right_headlight,Right Headlight,Sağ ön fara,370,675,1350,estimate
6,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Front,left_fog_light,Left Fog Light,Sol duman farası,55,95,190,estimate
7,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Front,right_fog_light,Right Fog Light,Sağ duman farası,55,95,190,estimate
8,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Rear,rear_bumper_cover,Rear Bumper Cover,Arxa bamper örtüyü,270,490,975,estimate
9,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Rear,trunk_lid,Trunk Lid,Baqaj qapağı (Sedan),260,470,925,estimate
10,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Rear,left_taillight,Left Taillight,Sol arxa fara (stop),150,280,550,estimate
11,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Rear,right_taillight,Right Taillight,Sağ arxa fara (stop),150,280,550,estimate
12,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Rear,rear_spoiler,Rear Spoiler,Arxa spoyler,110,190,380,estimate
